qa_id,question,answer,keywords,notes,last_verified,sort
qa_001,キーファに「たね」を使っても大丈夫？,大丈夫です。 今作ではキーファ離脱時に、投与した「たね・きのみ」の効果がすべてアイテムとして返却されます。キーファは離脱まで非常に強力なので、序盤から種で強化してOKです。,キーファ,,2026/02/06,1
qa_002,ウッドパルナ編の「木の人形」はどうすればいい？,"結末と報酬が変化します。

パトリックに渡す：トゥルーエンドの流れ。過去を去る際にパトリックから人形を返却されます（受け取らないと**「まもりのたね」**入手）。

渡さない：マチルダを追い詰める悲劇的な展開になり、現代の歴史も改ざんされた内容に固定されます
",木の人形,,2026/02/06,2
qa_003,序盤でしか手に入らない要素はある？,"あります。

小魚のつけもの：マリベル加入直後〜グランエスタードに行くまでの短い間のみ入手可能。

マリベルのいたずらイベント：ウッドパルナ帰還後、キーファ合流前に彼女の家へ行くと発生する期間限定イベント。
",序盤,,2026/02/06,3
qa_004,シナリオがカットされたって本当？,"本当です。一部が削除、またはサブストーリー化されています。

完全削除：クレージュ、リートルード、プロビナ

サブストーリー化：ダイアラック、グリンフレーク、ルーメン、レブレサック
（後者はメインストーリーから外れ、任意のタイミングで遊べる形式です）",ストーリーカット,,2026/02/06,4
qa_005,"職業システムで注意すべき「落とし穴」は？
","最上位職「勇者」の条件が変更されています。今作も3職極めて勇者になれますが、その3つにゴッドハンド／天地雷鳴士を含められません。 勇者を目指す場合は、魔法戦士や賢者など他の上級職を経由してください。
また、モンスター職は撤廃され、「心」は装備品（アクセサリー）扱いに変更されています。
",職業,,2026/02/06,5
qa_006,"ちいさなメダル集めで詰まることはある？
",今作は大幅に緩和されています。「メダル帳」により、メダルがあるフロアに近づくとリストに表示されるため探索が楽です。ただし、クリア後要素の解放には大量のメダルが必要なので、序盤から意識して集めておくのがおすすめです。,ちいさなメダル,,2026/02/06,6
qa_007,取り逃しを防ぐ一番確実な方法は？,"「イベントが進む直前」にセーブするのが最強です。

特に、過去/現代をまたぐタイミングや、新しい町・ダンジョンの区切りでは、
①宝箱 ②交換/景品 ③一度きり会話 ④分岐選択肢 の4点だけチェックしてから進めると事故が激減します。",取り逃し セーブ,,2026/02/13,7
qa_008,「期間限定」になりやすい要素はどんなタイプ？,"典型は次のタイプです。

・イベント進行で場所/NPCが変化して、同じ手順が踏めなくなる
・選択肢や依頼の順番で、結末や報酬が変わる
・景品/交換ラインナップの切り替えがある

迷ったら、先にセーブしてから進めるのが安全です。",期間限定 分岐,,2026/02/13,8
qa_009,「後で戻る」はどのタイミングが危険？,"危険なのは「戻れると思い込む」パターンです。

・過去のエリアを解決して現代へ戻る直前/直後
・イベントで町の状況が切り替わる直前
・大きな移動手段の解放や、物語の区切り直前

不安なら、進行前にセーブ→必要ならここで検索、が最短です。",後で戻る 進行,,2026/02/13,9
qa_010,宝箱の見落としを最短で減らすコツは？,"“取り切る”より“見落としの型を潰す”のが早いです。

・階段/段差の陰、小部屋、袋小路
・入口近くの分岐（最初に見逃しやすい）
・屋内の家具裏や通路の端

探索に時間をかけたくない人ほど、1フロアごとに一周ルールを決めると安定します。",宝箱 見落とし,,2026/02/13,10
qa_011,選択肢で報酬や展開が変わる場合は？,"一部イベントでは、選択肢や行動順で展開/報酬が変化します。

迷ったら「選ぶ前にセーブ」→一度進めて確認、が一番安全です。差が気になる場合は、このページでイベント名やキーワードで検索してください。",選択肢 報酬,,2026/02/13,11
qa_012,仲間の加入・離脱で注意することは？,"大きくは2点です。

①重要アイテムや装備を持たせたまま進行しない（進行前に持ち物確認）
②離脱や一時離脱がありそうな場面では、セーブ→装備/持ち物を整えてから進める

「とりあえず進めたら戻せない」を防げます。",仲間 離脱,,2026/02/13,12
qa_013,このQ&Aページの使い方は？（最短）,"検索欄に、思い当たる語をそのまま入れてください。

例：期間限定／変更／分岐／景品／交換／宝箱／たね

「固有名詞が分からない」場合でも、状況ワードで引っかかるように作っています。",使い方 検索,,2026/02/13,13
qa_014,ラッキーパネル周りで時短するには？,"景品を先に選び、盤面をタップして“置いた情報”だけ残すのが速いです。

このサイトのラッキーパネルは、過去/現代と盤面サイズを切り替えられるので、迷ったら一度クリアして条件だけ合わせ直すと立て直しが簡単です。",ラッキーパネル 景品,ツール: lucky_panel,2026/02/13,14
